ID_Trabajador,Edad,Sexo,Departamento,Zona,Tipo_Actividad,Horas_Trabajadas_Semana,Ingreso_Mensual,Acceso_Beneficios,Tiene_Contrato_Escrito,Formalidad
55,29,Masculino,San Martín,Urbana,Microempresa,58,1712.64,Salud y pensión,No,Informal
56,22,Femenino,Cusco,Urbana,Empleo formal,17,603.58,Solo salud,No,Informal
57,22,Masculino,Lima,Urbana,Servicio doméstico,47,1802.69,Solo salud,No,Informal
58,38,Masculino,Lima,Urbana,Empleo formal,11,959.91,Ninguno,Sí,Informal
59,45,Masculino,Lambayeque,Urbana,Empleo formal,11,1278.8,Salud y pensión,No,Informal
60,37,Masculino,Lambayeque,Urbana,Comercio ambulante,52,897.56,Salud y pensión,Sí,Informal
61,30,Femenino,Arequipa,Urbana,Microempresa,10,1112.56,Ninguno,No,Informal
62,18,Masculino,Lambayeque,Urbana,Microempresa,28,1413.69,Salud y pensión,Sí,Formal
63,46,Femenino,Lima,Urbana,Comercio ambulante,22,1144.16,Solo salud,Sí,Informal
64,23,Femenino,San Martín,Rural,Empleo formal,21,1072.41,Salud y pensión,Sí,Informal
65,52,Femenino,Huancavelica,Urbana,Microempresa,40,1749.67,Salud y pensión,Sí,Informal
66,44,Femenino,Cusco,Urbana,Empleo formal,14,568.05,Solo salud,Sí,Informal
67,63,Masculino,Huancavelica,Urbana,Comercio ambulante,36,781.44,Solo salud,Sí,Informal
68,44,Masculino,Lambayeque,Urbana,Servicio doméstico,51,918.11,Ninguno,Sí,Informal
69,52,Masculino,Arequipa,Urbana,Servicio doméstico,23,1282.39,Ninguno,No,Informal
70,45,Femenino,Cusco,Rural,Empleo formal,51,1761.5,Solo salud,No,Informal
71,38,Masculino,Cusco,Urbana,Microempresa,12,1351.13,Salud y pensión,No,Informal
72,21,Femenino,Lima,Rural,Empleo formal,42,468.56,Solo salud,No,Formal
73,54,Masculino,Lambayeque,Urbana,Freelance,34,1128.17,Salud y pensión,No,Formal
74,56,Femenino,Cusco,Urbana,Comercio ambulante,49,800.21,Ninguno,Sí,Formal
75,42,Masculino,San Martín,Urbana,Empleo formal,46,1423.34,Ninguno,No,Formal
76,24,Femenino,San Martín,Urbana,Servicio doméstico,53,891.84,Ninguno,No,Informal
77,46,Femenino,Cusco,Urbana,Comercio ambulante,43,972.73,Ninguno,No,Formal
78,59,Femenino,San Martín,Rural,Empleo formal,54,1547.95,Solo salud,No,Informal
79,36,Masculino,Arequipa,Urbana,Comercio ambulante,21,1273.78,Ninguno,Sí,Informal
80,52,Femenino,Huancavelica,Rural,Servicio doméstico,46,1612.56,Ninguno,No,Informal
81,40,Masculino,Arequipa,Urbana,Empleo formal,36,1168.64,Ninguno,No,Formal
82,48,Masculino,Cusco,Urbana,Empleo formal,12,948.51,Solo salud,Sí,Informal
83,61,Femenino,Huancavelica,Urbana,Empleo formal,31,492.73,Ninguno,No,Informal
84,42,Masculino,Lambayeque,Rural,Comercio ambulante,11,355.88,Ninguno,Sí,Informal
85,58,Masculino,Lima,Rural,Microempresa,21,1080.95,Ninguno,No,Informal
86,37,Femenino,San Martín,Rural,Comercio ambulante,38,1516.29,Solo salud,No,Formal
87,37,Femenino,Huancavelica,Urbana,Microempresa,41,687.49,Ninguno,Sí,Informal
88,20,Femenino,San Martín,Urbana,Microempresa,26,765.56,Ninguno,No,Informal
89,22,Masculino,Lambayeque,Urbana,Microempresa,30,1619.96,Ninguno,No,Informal
90,25,Masculino,Arequipa,Urbana,Microempresa,51,1336.99,Ninguno,Sí,Informal
91,64,Femenino,San Martín,Rural,Comercio ambulante,10,2033.29,Ninguno,No,Informal
92,20,Masculino,Cusco,Urbana,Comercio ambulante,36,1027.6,Solo salud,No,Informal
93,34,Masculino,Lambayeque,Urbana,Comercio ambulante,54,701.68,Solo salud,Sí,Informal
94,37,Femenino,Lambayeque,Rural,Microempresa,16,592.01,Solo salud,Sí,Informal
95,27,Femenino,Lambayeque,Urbana,Comercio ambulante,46,988.4,Ninguno,No,Informal
96,49,Masculino,Lima,Urbana,Servicio doméstico,43,1076.81,Salud y pensión,No,Informal
97,42,Femenino,Huancavelica,Urbana,Servicio doméstico,22,773.0,Salud y pensión,No,Formal
98,61,Femenino,Huancavelica,Urbana,Microempresa,13,575.18,Solo salud,Sí,Formal
99,40,Femenino,Cusco,Rural,Empleo formal,22,1713.2,Solo salud,No,Informal
100,64,Femenino,Huancavelica,Urbana,Empleo formal,53,786.7,Ninguno,No,Informal
101,38,Femenino,Cusco,Rural,Comercio ambulante,25,736.85,Ninguno,No,Informal
102,20,Masculino,Arequipa,Rural,Servicio doméstico,46,1525.33,Solo salud,Sí,Formal
103,26,Femenino,Cusco,Urbana,Empleo formal,37,1528.75,Solo salud,No,Informal
104,35,Femenino,Lima,Urbana,Microempresa,53,1311.94,Ninguno,No,Formal
105,27,Femenino,Arequipa,Urbana,Comercio ambulante,15,866.04,Salud y pensión,Sí,Formal
106,60,Femenino,San Martín,Urbana,Empleo formal,44,1184.66,Solo salud,No,Informal
107,62,Masculino,Lima,Urbana,Microempresa,57,1184.47,Ninguno,No,Formal
108,25,Masculino,San Martín,Urbana,Servicio doméstico,35,915.06,Ninguno,No,Informal
109,21,Masculino,Huancavelica,Urbana,Comercio ambulante,41,902.07,Solo salud,No,Informal
110,35,Femenino,Lambayeque,Urbana,Comercio ambulante,39,1360.38,Solo salud,No,Informal
111,28,Masculino,Lima,Urbana,Microempresa,39,652.97,Salud y pensión,No,Informal
112,36,Femenino,San Martín,Urbana,Servicio doméstico,20,581.78,Ninguno,No,Formal
113,63,Femenino,Lima,Urbana,Comercio ambulante,10,1437.67,Solo salud,No,Formal
114,54,Femenino,Huancavelica,Urbana,Empleo formal,23,994.44,Ninguno,No,Informal
115,27,Masculino,Huancavelica,Rural,Servicio doméstico,41,1952.96,Salud y pensión,No,Informal
116,57,Femenino,Lima,Urbana,Freelance,58,1280.22,Solo salud,Sí,Informal
117,45,Femenino,Lima,Urbana,Microempresa,14,1121.74,Ninguno,Sí,Informal
118,21,Masculino,Lambayeque,Urbana,Empleo formal,20,1412.78,Ninguno,Sí,Informal
119,24,Femenino,Huancavelica,Rural,Comercio ambulante,26,695.89,Ninguno,Sí,Informal
120,39,Femenino,Arequipa,Rural,Comercio ambulante,46,594.25,Ninguno,No,Formal
121,46,Masculino,Huancavelica,Rural,Microempresa,18,214.66,Ninguno,No,Informal
122,33,Masculino,Lambayeque,Rural,Microempresa,19,1442.27,Solo salud,No,Informal
123,33,Femenino,Huancavelica,Urbana,Microempresa,59,469.18,Ninguno,Sí,Informal
124,19,Femenino,Lima,Urbana,Servicio doméstico,12,1442.09,Solo salud,No,Informal
125,35,Masculino,Cusco,Rural,Servicio doméstico,12,1280.85,Ninguno,No,Informal
126,48,Masculino,San Martín,Rural,Microempresa,25,2220.89,Ninguno,Sí,Informal
127,62,Masculino,Lima,Urbana,Freelance,50,1677.56,Solo salud,No,Formal
128,44,Masculino,San Martín,Urbana,Empleo formal,12,682.41,Solo salud,No,Informal
129,34,Masculino,Arequipa,Rural,Servicio doméstico,25,1005.72,Ninguno,No,Informal
130,42,Femenino,San Martín,Urbana,Servicio doméstico,55,1432.09,Ninguno,No,Formal
131,50,Femenino,San Martín,Urbana,Servicio doméstico,26,907.13,Ninguno,Sí,Informal
132,31,Masculino,Lambayeque,Rural,Microempresa,53,1102.92,Salud y pensión,Sí,Informal
133,49,Masculino,Cusco,Urbana,Comercio ambulante,56,424.94,Solo salud,No,Informal
134,43,Femenino,Huancavelica,Rural,Servicio doméstico,17,765.43,Ninguno,No,Informal
135,24,Femenino,Cusco,Urbana,Freelance,32,348.15,Solo salud,No,Informal
136,40,Masculino,San Martín,Urbana,Microempresa,30,805.35,Ninguno,Sí,Informal
137,64,Femenino,Arequipa,Urbana,Comercio ambulante,37,1355.02,Solo salud,Sí,Informal
138,42,Masculino,Lambayeque,Rural,Comercio ambulante,22,1277.24,Ninguno,No,Informal
139,44,Femenino,Lima,Urbana,Empleo formal,56,751.95,Ninguno,No,Informal
140,40,Masculino,San Martín,Urbana,Servicio doméstico,32,921.09,Solo salud,Sí,Informal
141,53,Masculino,Arequipa,Rural,Comercio ambulante,14,1321.86,Solo salud,No,Formal
142,57,Masculino,Arequipa,Urbana,Microempresa,48,482.57,Salud y pensión,No,Formal
143,40,Masculino,San Martín,Urbana,Microempresa,43,1793.41,Salud y pensión,No,Informal
144,59,Masculino,Arequipa,Rural,Servicio doméstico,41,1653.6,Salud y pensión,No,Formal
145,41,Masculino,San Martín,Rural,Comercio ambulante,23,1061.78,Solo salud,Sí,Informal
146,20,Masculino,Arequipa,Rural,Empleo formal,21,613.92,Salud y pensión,Sí,Formal
147,19,Femenino,Lambayeque,Urbana,Servicio doméstico,52,863.16,Salud y pensión,Sí,Formal
148,60,Masculino,San Martín,Urbana,Microempresa,28,1236.7,Salud y pensión,Sí,Formal
149,51,Femenino,Huancavelica,Rural,Empleo formal,43,347.47,Salud y pensión,No,Informal
150,36,Masculino,Cusco,Urbana,Empleo formal,14,1408.62,Ninguno,No,Informal
151,33,Femenino,Lima,Urbana,Servicio doméstico,41,938.53,Solo salud,No,Formal
152,60,Femenino,Lambayeque,Urbana,Comercio ambulante,42,951.17,Salud y pensión,No,Informal
153,61,Masculino,Arequipa,Rural,Freelance,19,1158.69,Solo salud,No,Formal
154,41,Masculino,Lambayeque,Urbana,Freelance,54,495.56,Ninguno,No,Informal
155,61,Femenino,Lima,Urbana,Freelance,50,779.65,Salud y pensión,No,Informal
156,36,Femenino,Arequipa,Rural,Microempresa,38,862.5,Ninguno,No,Informal
157,49,Femenino,Lambayeque,Urbana,Microempresa,14,1152.87,Ninguno,No,Informal
158,52,Masculino,Huancavelica,Urbana,Microempresa,28,1181.36,Solo salud,Sí,Informal
159,57,Masculino,Huancavelica,Urbana,Microempresa,53,1372.21,Ninguno,No,Informal
160,19,Femenino,Arequipa,Urbana,Comercio ambulante,43,1422.84,Ninguno,Sí,Formal
161,39,Masculino,Cusco,Rural,Microempresa,24,1451.1,Salud y pensión,No,Informal
162,44,Femenino,Huancavelica,Urbana,Microempresa,55,265.85,Ninguno,No,Formal
163,37,Masculino,San Martín,Urbana,Microempresa,37,1088.6,Solo salud,No,Formal
164,25,Femenino,Huancavelica,Urbana,Servicio doméstico,51,1058.76,Solo salud,Sí,Formal
165,33,Masculino,Arequipa,Urbana,Empleo formal,46,1606.54,Ninguno,Sí,Informal
166,37,Masculino,Arequipa,Urbana,Comercio ambulante,37,1768.88,Ninguno,No,Informal
167,37,Masculino,San Martín,Urbana,Empleo formal,51,562.35,Ninguno,No,Informal
168,20,Masculino,Huancavelica,Urbana,Comercio ambulante,34,1280.63,Solo salud,Sí,Informal
169,54,Masculino,Huancavelica,Urbana,Comercio ambulante,13,1186.85,Ninguno,No,Informal
170,35,Femenino,Huancavelica,Urbana,Servicio doméstico,28,1518.0,Salud y pensión,No,Informal
171,29,Masculino,Arequipa,Urbana,Comercio ambulante,45,723.69,Salud y pensión,No,Informal
172,29,Femenino,Lambayeque,Urbana,Microempresa,20,988.51,Salud y pensión,No,Informal
173,36,Masculino,Huancavelica,Urbana,Comercio ambulante,30,1378.38,Ninguno,No,Informal
174,22,Masculino,San Martín,Rural,Microempresa,19,1397.6,Salud y pensión,No,Formal
175,22,Femenino,Cusco,Urbana,Comercio ambulante,42,1181.7,Ninguno,No,Informal
176,60,Masculino,Arequipa,Urbana,Servicio doméstico,13,1246.61,Salud y pensión,No,Informal
177,25,Masculino,Huancavelica,Urbana,Servicio doméstico,33,272.14,Solo salud,Sí,Formal
178,40,Masculino,Cusco,Rural,Freelance,18,810.78,Ninguno,Sí,Informal
179,31,Masculino,Huancavelica,Urbana,Freelance,25,1783.93,Ninguno,Sí,Informal
180,44,Masculino,San Martín,Urbana,Empleo formal,13,1942.74,Salud y pensión,Sí,Informal
181,45,Masculino,Lambayeque,Urbana,Microempresa,32,1024.9,Salud y pensión,No,Informal
182,38,Masculino,Cusco,Rural,Empleo formal,27,1239.64,Ninguno,No,Formal
183,43,Femenino,Cusco,Urbana,Microempresa,27,940.86,Salud y pensión,No,Informal
184,55,Femenino,San Martín,Urbana,Comercio ambulante,10,1042.14,Salud y pensión,No,Informal
185,41,Masculino,Lambayeque,Rural,Microempresa,30,1065.56,Salud y pensión,No,Informal
186,44,Femenino,Cusco,Rural,Microempresa,15,1482.13,Ninguno,Sí,Informal
187,60,Masculino,Lima,Rural,Microempresa,39,959.61,Solo salud,No,Informal
188,54,Masculino,Huancavelica,Urbana,Comercio ambulante,47,1133.36,Ninguno,No,Informal
189,37,Masculino,Cusco,Rural,Empleo formal,13,1230.29,Ninguno,No,Informal
190,19,Femenino,Cusco,Urbana,Servicio doméstico,57,1100.03,Ninguno,No,Informal
191,23,Femenino,Lima,Rural,Comercio ambulante,49,2038.07,Ninguno,Sí,Informal
192,31,Masculino,Arequipa,Urbana,Freelance,10,1674.07,Solo salud,No,Formal
193,33,Femenino,Lambayeque,Urbana,Microempresa,40,1236.32,Solo salud,No,Formal
194,50,Femenino,Lambayeque,Urbana,Empleo formal,21,590.03,Ninguno,No,Informal
195,39,Masculino,Arequipa,Urbana,Servicio doméstico,12,1293.22,Ninguno,No,Formal
196,62,Masculino,Cusco,Rural,Microempresa,33,1147.17,Salud y pensión,Sí,Informal
197,18,Masculino,Arequipa,Urbana,Microempresa,29,982.35,Ninguno,No,Informal
198,36,Femenino,Lambayeque,Urbana,Microempresa,57,1435.7,Solo salud,No,Formal
199,58,Masculino,Lima,Urbana,Comercio ambulante,27,1370.31,Solo salud,No,Informal
200,53,Femenino,Lima,Urbana,Empleo formal,54,310.34,Ninguno,No,Formal
201,35,Masculino,Cusco,Rural,Microempresa,15,1586.07,Salud y pensión,No,Informal
202,38,Masculino,Lambayeque,Urbana,Microempresa,37,1632.99,Salud y pensión,No,Informal
203,42,Masculino,Lambayeque,Urbana,Microempresa,26,1440.19,Ninguno,No,Informal
204,25,Masculino,Lima,Urbana,Empleo formal,29,662.38,Salud y pensión,No,Informal
205,61,Femenino,Cusco,Urbana,Microempresa,22,1111.79,Solo salud,No,Formal
206,34,Masculino,Cusco,Urbana,Servicio doméstico,59,909.6,Solo salud,No,Formal
207,59,Femenino,San Martín,Rural,Microempresa,24,1402.38,Ninguno,Sí,Informal
208,60,Masculino,Huancavelica,Urbana,Microempresa,40,1604.22,Ninguno,No,Informal
209,63,Masculino,San Martín,Urbana,Comercio ambulante,19,1702.17,Ninguno,No,Informal
210,38,Masculino,Lima,Rural,Freelance,30,1729.75,Ninguno,Sí,Formal
211,54,Masculino,Huancavelica,Urbana,Comercio ambulante,24,1448.54,Solo salud,No,Informal
212,54,Femenino,Lambayeque,Urbana,Microempresa,36,752.01,Solo salud,Sí,Informal
213,44,Femenino,Cusco,Urbana,Microempresa,52,1413.36,Solo salud,No,Informal
214,49,Femenino,Lambayeque,Rural,Comercio ambulante,23,1039.09,Solo salud,No,Informal
215,58,Masculino,Lambayeque,Urbana,Comercio ambulante,40,311.98,Solo salud,No,Formal
216,22,Femenino,Arequipa,Urbana,Comercio ambulante,31,703.94,Ninguno,No,Formal
217,58,Femenino,San Martín,Urbana,Comercio ambulante,56,991.25,Ninguno,No,Informal
218,38,Femenino,Lambayeque,Urbana,Microempresa,52,1176.83,Salud y pensión,Sí,Informal
219,27,Masculino,Huancavelica,Urbana,Servicio doméstico,57,1497.62,Solo salud,No,Formal
220,52,Masculino,Arequipa,Urbana,Microempresa,46,1447.5,Ninguno,No,Formal
221,53,Masculino,Lambayeque,Rural,Servicio doméstico,20,1215.21,Salud y pensión,Sí,Informal
222,55,Masculino,Cusco,Rural,Servicio doméstico,56,2047.67,Ninguno,Sí,Informal
223,42,Femenino,San Martín,Urbana,Empleo formal,54,771.92,Ninguno,Sí,Informal
224,21,Masculino,Lima,Rural,Microempresa,15,753.33,Ninguno,No,Informal
225,47,Femenino,Arequipa,Urbana,Empleo formal,50,1099.48,Ninguno,No,Informal
226,23,Masculino,Arequipa,Urbana,Comercio ambulante,11,1510.41,Ninguno,No,Formal
227,47,Masculino,San Martín,Urbana,Empleo formal,11,1039.77,Ninguno,No,Formal
228,58,Masculino,Lima,Rural,Microempresa,20,684.48,Salud y pensión,No,Informal
229,19,Masculino,Cusco,Urbana,Servicio doméstico,14,1055.36,Ninguno,No,Formal
230,29,Masculino,Cusco,Urbana,Servicio doméstico,34,738.9,Solo salud,No,Formal
231,19,Masculino,Lima,Urbana,Comercio ambulante,19,961.52,Ninguno,No,Formal
232,28,Femenino,Cusco,Urbana,Comercio ambulante,55,476.19,Ninguno,No,Informal
233,50,Masculino,Cusco,Urbana,Empleo formal,51,1125.39,Salud y pensión,Sí,Informal
234,35,Masculino,Arequipa,Urbana,Empleo formal,41,1467.9,Ninguno,No,Informal
235,60,Femenino,Arequipa,Rural,Microempresa,51,864.2,Ninguno,Sí,Formal
236,30,Masculino,Arequipa,Urbana,Microempresa,53,722.76,Solo salud,No,Informal
237,27,Femenino,Arequipa,Urbana,Microempresa,42,937.64,Ninguno,No,Informal
238,62,Masculino,Lima,Urbana,Microempresa,52,1393.7,Ninguno,No,Informal
239,54,Masculino,Huancavelica,Urbana,Microempresa,20,475.56,Salud y pensión,Sí,Informal
240,30,Masculino,Lima,Rural,Empleo formal,31,718.86,Ninguno,Sí,Formal
241,64,Masculino,Arequipa,Rural,Freelance,59,1075.48,Solo salud,No,Informal
242,36,Femenino,San Martín,Rural,Servicio doméstico,19,1086.29,Ninguno,No,Informal
243,63,Femenino,Lima,Urbana,Comercio ambulante,21,2085.6,Salud y pensión,No,Formal
244,57,Masculino,Huancavelica,Urbana,Servicio doméstico,35,931.7,Solo salud,No,Informal
245,50,Femenino,Huancavelica,Urbana,Comercio ambulante,34,1321.1,Ninguno,Sí,Formal
246,60,Femenino,Arequipa,Urbana,Microempresa,31,1534.58,Ninguno,No,Formal
247,60,Masculino,Lambayeque,Urbana,Microempresa,16,1112.06,Ninguno,No,Informal
248,35,Femenino,Huancavelica,Urbana,Microempresa,17,14.95,Solo salud,Sí,Informal
249,25,Masculino,Arequipa,Urbana,Comercio ambulante,38,1511.9415946439497,Ninguno,No,Formal
250,56,Masculino,Lambayeque,Urbana,Microempresa,37,796.77,Solo salud,No,Informal
251,28,Femenino,Huancavelica,Rural,Microempresa,13,826.51,Salud y pensión,Sí,Informal
252,64,Femenino,San Martín,Urbana,Empleo formal,23,682.79,Solo salud,Sí,Formal
253,39,Femenino,Cusco,Urbana,Comercio ambulante,37,623.29,Ninguno,Sí,Formal
254,22,Femenino,San Martín,Urbana,Microempresa,59,1008.11,Ninguno,No,Informal
255,40,Femenino,Cusco,Urbana,Empleo formal,40,904.24,Solo salud,Sí,Informal
256,50,Masculino,Lima,Rural,Microempresa,37,1266.05,Salud y pensión,Sí,Informal
257,45,Masculino,Lima,Urbana,Freelance,48,1288.74,Solo salud,Sí,Informal
258,34,Femenino,San Martín,Rural,Empleo formal,37,1285.78,Ninguno,No,Informal
259,29,Femenino,San Martín,Urbana,Freelance,27,1795.31,Ninguno,No,Formal
260,40,Femenino,Lima,Rural,Servicio doméstico,38,1794.75,Ninguno,No,Informal
261,40,Femenino,San Martín,Urbana,Comercio ambulante,21,782.83,Ninguno,Sí,Informal
262,49,Femenino,Lambayeque,Urbana,Microempresa,14,903.36,Salud y pensión,No,Informal
263,26,Femenino,Lambayeque,Rural,Servicio doméstico,45,837.69,Salud y pensión,Sí,Formal
264,44,Femenino,Cusco,Urbana,Microempresa,17,1498.27,Ninguno,Sí,Formal
265,51,Femenino,Lambayeque,Urbana,Microempresa,15,1733.92,Solo salud,No,Informal
266,19,Femenino,Cusco,Urbana,Empleo formal,11,1135.37,Ninguno,Sí,Informal
267,36,Femenino,Lima,Urbana,Microempresa,24,535.88,Ninguno,Sí,Informal
268,21,Femenino,Arequipa,Urbana,Comercio ambulante,22,1457.46,Ninguno,Sí,Informal
269,40,Femenino,Lima,Urbana,Microempresa,13,1353.2,Ninguno,No,Informal
270,64,Femenino,San Martín,Rural,Microempresa,54,1044.11,Ninguno,Sí,Informal
271,32,Femenino,Huancavelica,Urbana,Comercio ambulante,15,1052.62,Solo salud,Sí,Formal
272,32,Masculino,Lima,Rural,Empleo formal,15,831.61,Solo salud,No,Informal
273,19,Femenino,Lambayeque,Urbana,Microempresa,29,1530.71,Salud y pensión,No,Informal
274,62,Femenino,Lambayeque,Urbana,Servicio doméstico,59,1897.98,Ninguno,No,Informal
275,32,Masculino,Lima,Urbana,Comercio ambulante,38,320.16,Solo salud,No,Informal
276,40,Femenino,Cusco,Urbana,Comercio ambulante,42,985.86,Ninguno,No,Informal
277,58,Masculino,Cusco,Urbana,Microempresa,27,630.01,Ninguno,No,Informal
278,26,Masculino,Cusco,Urbana,Freelance,16,1394.47,Ninguno,No,Formal
279,57,Femenino,Lima,Urbana,Microempresa,59,1573.96,Ninguno,Sí,Formal
280,33,Femenino,Lambayeque,Rural,Servicio doméstico,43,1596.51,Solo salud,Sí,Formal
281,61,Masculino,Lima,Urbana,Empleo formal,49,958.76,Salud y pensión,No,Informal
282,49,Masculino,Huancavelica,Urbana,Servicio doméstico,35,1253.53,Solo salud,No,Formal
283,20,Masculino,Lambayeque,Rural,Comercio ambulante,55,937.9,Ninguno,Sí,Informal
284,63,Masculino,Huancavelica,Urbana,Empleo formal,14,661.7,Solo salud,No,Formal
285,53,Femenino,Lima,Rural,Servicio doméstico,37,666.48,Ninguno,No,Informal
286,33,Masculino,Huancavelica,Urbana,Microempresa,25,1574.35,Ninguno,No,Informal
287,53,Masculino,Huancavelica,Rural,Comercio ambulante,18,1608.49,Ninguno,No,Formal
288,37,Masculino,Cusco,Urbana,Freelance,47,2005.93,Ninguno,Sí,Formal
289,52,Femenino,Cusco,Urbana,Microempresa,27,157.76,Ninguno,No,Formal
290,28,Masculino,Lima,Urbana,Comercio ambulante,51,1881.78,Ninguno,Sí,Informal
291,21,Masculino,Cusco,Urbana,Microempresa,32,1072.16,Solo salud,No,Informal
292,26,Masculino,San Martín,Urbana,Microempresa,37,726.88,Solo salud,No,Formal
293,43,Femenino,Huancavelica,Urbana,Comercio ambulante,37,1260.64,Solo salud,Sí,Informal
294,64,Femenino,Lima,Urbana,Comercio ambulante,49,745.69,Ninguno,No,Informal
295,29,Masculino,Cusco,Urbana,Empleo formal,27,646.26,Salud y pensión,Sí,Informal
296,62,Masculino,Huancavelica,Rural,Microempresa,57,782.77,Solo salud,No,Informal
297,30,Masculino,Huancavelica,Urbana,Empleo formal,19,1166.36,Salud y pensión,Sí,Formal
